"species","transect","frequency","comment"
"Acacia rubida","T3",0,""
"Acacia rubida","T45",0,""
"Acacia rubida","T28",0,""
"Acacia rubida","T53",0,""
"Acacia rubida","T15",0,""
"Acacia rubida","T49",0,""
"Acacia rubida","T19",0,""
"Acacia rubida","T1",0,""
"Acacia rubida","T38",0,""
"Acacia rubida","T50",0,""
"Acacia rubida","T8",0,""
"Acacia rubida","T5",0,""
"Acacia rubida","T57",0,""
"Acacia rubida","T7",0,""
"Acacia rubida","T13",0,""
"Acacia rubida","T20",0,""
"Acacia rubida","T18",0,""
"Acacia terminalis","T27",0,""
"Acacia terminalis","T44",0,""
"Acacia terminalis","T36",0,""
"Acacia terminalis","T34",0,""
"Acacia terminalis","T24",0,""
"Acacia terminalis","T32",0,""
"Acacia terminalis","T22",0,""
"Acacia terminalis","T21",0,""
"Acacia terminalis","T19",0,""
"Acacia terminalis","T53",0,""
"Acacia terminalis","T26",0,""
"Acacia terminalis","T20",0,""
"Acacia terminalis","T45",0,""
"Acacia terminalis","T40",0,""
"Acacia terminalis","T10",0,""
"Acacia terminalis","T15",0,""
"Acacia terminalis","T17",0,""
"Acacia terminalis","T46",0,""
"Acacia terminalis","T4",0,""
"Acacia terminalis","T9",0,""
"Acacia terminalis","T29",0,""
"Acacia terminalis","T6",0,""
"Acacia terminalis","T41",0,""
"Acacia terminalis","T35",0,""
"Acacia terminalis","T38",0,""
"Acacia terminalis","T43",0,""
"Acacia terminalis","T23",0,""
"Acacia terminalis","T37",5,""
"Acacia terminalis","T7",0,""
"Acacia terminalis","T60",0,""
"Acacia terminalis","T42",0,""
"Acacia terminalis","T2",0,""
"Acacia terminalis","T16",0,""
"Acacia terminalis","T1",0,""
"Acacia terminalis","T31",0,""
"Acacia terminalis","T25",0,""
"Acacia terminalis","T30",0,""
"Acacia terminalis","T57",0,""
"Acacia terminalis","T5",0,""
"Acacia terminalis","T12",1,""
"Acacia terminalis","T39",0,""
"Acacia terminalis","T11",0,""
"Acacia terminalis","T59",0,""
"Acacia terminalis","T14",0,""
"Acacia terminalis","T3",1,""
"Acacia terminalis","T47",0,""
"Acacia terminalis","T28",0,""
"Acacia terminalis","T13",0,""
"Acacia terminalis","T49",0,""
"Acacia terminalis","T18",0,""
"Acacia terminalis","T48",0,""
"Acacia terminalis","T33",0,""
"Acacia terminalis","T50",0,""
"Acacia terminalis","T8",2,""
"Actinotus minor","T44",30,""
"Actinotus minor","T9",10,""
"Actinotus minor","T42",0,""
"Actinotus minor","T46",0,""
"Actinotus minor","T30",0,""
"Actinotus minor","T37",7,""
"Actinotus minor","T31",1,""
"Actinotus minor","T17",20,""
"Actinotus minor","T36",0,""
"Actinotus minor","T2",0,""
"Actinotus minor","T4",0,""
"Actinotus minor","T14",0,""
"Actinotus minor","T12",0,""
"Actinotus minor","T25",0,""
"Actinotus minor","T23",0,""
"Actinotus minor","T16",0,""
"Actinotus minor","T15",0,""
"Actinotus minor","T39",22,""
"Actinotus minor","T34",0,""
"Actinotus minor","T40",0,""
"Actinotus minor","T26",0,""
"Actinotus minor","T35",0,""
"Actinotus minor","T11",0,""
"Actinotus minor","T27",3,""
"Actinotus minor","T50",0,""
"Actinotus minor","T32",22,""
"Actinotus minor","T45",0,""
"Actinotus minor","T47",10,""
"Actinotus minor","T10",7,""
"Actinotus minor","T24",0,""
"Actinotus minor","T22",0,""
"Actinotus minor","T7",0,""
"Actinotus minor","T53",0,""
"Actinotus minor","T59",0,""
"Actinotus minor","T38",9,""
"Actinotus minor","T29",0,""
"Actinotus minor","T1",0,""
"Actinotus minor","T57",0,""
"Actinotus minor","T28",1,""
"Actinotus minor","T43",0,""
"Actinotus minor","T3",0,""
"Actinotus minor","T19",0,""
"Actinotus minor","T6",0,""
"Actinotus minor","T60",0,""
"Actinotus minor","T49",0,""
"Actinotus minor","T41",0,""
"Actinotus minor","T8",0,""
"Actinotus minor","T18",1,""
"Actinotus minor","T21",0,""
"Actinotus minor","T5",0,""
"Actinotus minor","T13",0,""
"Actinotus minor","T48",5,""
"Actinotus minor","T20",12,""
"Actinotus minor","T33",1,""
"Allocasuarina littoralis","T44",0,""
"Allocasuarina littoralis","T26",0,""
"Allocasuarina littoralis","T24",0,""
"Allocasuarina littoralis","T15",0,""
"Allocasuarina littoralis","T2",0,""
"Allocasuarina littoralis","T40",0,""
"Allocasuarina littoralis","T10",0,""
"Allocasuarina littoralis","T4",0,""
"Allocasuarina littoralis","T17",0,""
"Allocasuarina littoralis","T42",0,""
"Allocasuarina littoralis","T36",0,""
"Allocasuarina littoralis","T16",0,""
"Allocasuarina littoralis","T9",0,""
"Allocasuarina littoralis","T5",0,""
"Allocasuarina littoralis","T25",0,""
"Allocasuarina littoralis","T30",0,""
"Allocasuarina littoralis","T22",0,""
"Allocasuarina littoralis","T7",0,""
"Allocasuarina littoralis","T46",0,""
"Allocasuarina littoralis","T12",0,""
"Allocasuarina littoralis","T53",0,""
"Allocasuarina littoralis","T31",0,""
"Allocasuarina littoralis","T41",0,""
"Allocasuarina littoralis","T11",0,""
"Allocasuarina littoralis","T59",0,""
"Allocasuarina littoralis","T45",0,""
"Allocasuarina littoralis","T43",0,""
"Allocasuarina littoralis","T47",0,""
"Allocasuarina littoralis","T37",0,""
"Allocasuarina littoralis","T60",0,""
"Allocasuarina littoralis","T49",0,""
"Allocasuarina littoralis","T39",0,""
"Allocasuarina littoralis","T34",0,""
"Allocasuarina littoralis","T19",0,""
"Allocasuarina littoralis","T27",0,""
"Allocasuarina littoralis","T29",1,""
"Allocasuarina littoralis","T6",0,""
"Allocasuarina littoralis","T48",0,""
"Allocasuarina littoralis","T1",0,""
"Allocasuarina littoralis","T35",0,""
"Allocasuarina littoralis","T3",0,""
"Allocasuarina littoralis","T23",0,""
"Allocasuarina littoralis","T57",0,""
"Allocasuarina littoralis","T32",0,""
"Allocasuarina littoralis","T8",0,""
"Allocasuarina littoralis","T14",0,""
"Allocasuarina littoralis","T21",0,""
"Allocasuarina littoralis","T50",0,""
"Allocasuarina littoralis","T38",0,""
"Allocasuarina littoralis","T13",0,""
"Allocasuarina littoralis","T20",0,""
"Allocasuarina littoralis","T28",0,""
"Allocasuarina littoralis","T33",0,""
"Allocasuarina littoralis","T18",0,""
"Allocasuarina paludosa","T24",0,""
"Allocasuarina paludosa","T36",0,""
"Allocasuarina paludosa","T30",0,""
"Allocasuarina paludosa","T42",0,""
"Allocasuarina paludosa","T41",0,""
"Allocasuarina paludosa","T12",0,""
"Allocasuarina paludosa","T44",0,""
"Allocasuarina paludosa","T22",0,""
"Allocasuarina paludosa","T45",3,""
"Allocasuarina paludosa","T14",0,""
"Allocasuarina paludosa","T53",0,""
"Allocasuarina paludosa","T26",0,""
"Allocasuarina paludosa","T15",0,""
"Allocasuarina paludosa","T43",0,""
"Allocasuarina paludosa","T25",0,""
"Allocasuarina paludosa","T16",0,""
"Allocasuarina paludosa","T10",0,""
"Allocasuarina paludosa","T7",0,""
"Allocasuarina paludosa","T34",0,""
"Allocasuarina paludosa","T40",0,""
"Allocasuarina paludosa","T2",0,""
"Allocasuarina paludosa","T29",0,""
"Allocasuarina paludosa","T21",0,""
"Allocasuarina paludosa","T19",0,""
"Allocasuarina paludosa","T11",0,""
"Allocasuarina paludosa","T35",0,""
"Allocasuarina paludosa","T20",0,""
"Allocasuarina paludosa","T3",0,""
"Allocasuarina paludosa","T47",0,""
"Allocasuarina paludosa","T32",0,""
"Allocasuarina paludosa","T60",0,""
"Allocasuarina paludosa","T17",0,""
"Allocasuarina paludosa","T46",0,""
"Allocasuarina paludosa","T48",1,""
"Allocasuarina paludosa","T4",0,""
"Allocasuarina paludosa","T9",0,""
"Allocasuarina paludosa","T6",0,""
"Allocasuarina paludosa","T39",0,""
"Allocasuarina paludosa","T1",0,""
"Allocasuarina paludosa","T38",0,""
"Allocasuarina paludosa","T5",0,""
"Allocasuarina paludosa","T13",0,""
"Allocasuarina paludosa","T28",0,""
"Allocasuarina paludosa","T8",1,""
"Allocasuarina paludosa","T49",0,""
"Allocasuarina paludosa","T27",0,""
"Allocasuarina paludosa","T59",0,""
"Allocasuarina paludosa","T31",0,""
"Allocasuarina paludosa","T18",0,""
"Allocasuarina paludosa","T37",0,""
"Allocasuarina paludosa","T50",0,""
"Allocasuarina paludosa","T23",0,""
"Allocasuarina paludosa","T57",0,""
"Allocasuarina paludosa","T33",0,""
"Almaleea paludosa","T46",1,""
"Almaleea paludosa","T29",0,""
"Almaleea paludosa","T45",0,""
"Almaleea paludosa","T36",10,""
"Almaleea paludosa","T34",2,""
"Almaleea paludosa","T17",0,""
"Almaleea paludosa","T39",0,""
"Almaleea paludosa","T25",21,""
"Almaleea paludosa","T31",2,""
"Almaleea paludosa","T21",0,""
"Almaleea paludosa","T42",0,""
"Almaleea paludosa","T9",0,""
"Almaleea paludosa","T1",0,""
"Almaleea paludosa","T43",0,""
"Almaleea paludosa","T5",0,""
"Almaleea paludosa","T40",0,""
"Almaleea paludosa","T32",0,""
"Almaleea paludosa","T22",0,""
"Almaleea paludosa","T15",0,""
"Almaleea paludosa","T19",27,""
"Almaleea paludosa","T24",0,""
"Almaleea paludosa","T44",0,""
"Almaleea paludosa","T27",0,""
"Almaleea paludosa","T41",0,""
"Almaleea paludosa","T16",0,""
"Almaleea paludosa","T50",0,""
"Almaleea paludosa","T35",0,""
"Almaleea paludosa","T13",0,""
"Almaleea paludosa","T30",0,""
"Almaleea paludosa","T57",5,""
"Almaleea paludosa","T10",1,""
"Almaleea paludosa","T7",0,""
"Almaleea paludosa","T49",0,""
"Almaleea paludosa","T53",0,""
"Almaleea paludosa","T26",1,""
"Almaleea paludosa","T4",0,""
"Almaleea paludosa","T14",0,""
"Almaleea paludosa","T11",0,""
"Almaleea paludosa","T59",22,""
"Almaleea paludosa","T38",0,""
"Almaleea paludosa","T20",0,""
"Almaleea paludosa","T37",0,""
"Almaleea paludosa","T23",0,""
"Almaleea paludosa","T28",0,""
"Almaleea paludosa","T60",0,""
"Almaleea paludosa","T8",0,""
"Almaleea paludosa","T12",3,""
"Almaleea paludosa","T2",0,""
"Almaleea paludosa","T18",0,""
"Almaleea paludosa","T33",17,""
"Almaleea paludosa","T6",1,""
"Almaleea paludosa","T48",0,""
"Almaleea paludosa","T3",0,""
"Almaleea paludosa","T47",0,""
"Aotus ericoides","T15",0,""
"Aotus ericoides","T5",0,""
"Aotus ericoides","T44",0,""
"Aotus ericoides","T31",0,""
"Aotus ericoides","T7",0,""
"Aotus ericoides","T39",0,""
"Aotus ericoides","T37",0,""
"Aotus ericoides","T45",0,""
"Aotus ericoides","T4",0,""
"Aotus ericoides","T9",0,""
"Aotus ericoides","T34",0,""
"Aotus ericoides","T26",0,""
"Aotus ericoides","T16",0,""
"Aotus ericoides","T35",0,""
"Aotus ericoides","T41",0,""
"Aotus ericoides","T47",0,""
"Aotus ericoides","T22",0,""
"Aotus ericoides","T60",0,""
"Aotus ericoides","T49",0,""
"Aotus ericoides","T46",0,""
"Aotus ericoides","T36",0,""
"Aotus ericoides","T2",1,""
"Aotus ericoides","T27",0,""
"Aotus ericoides","T29",0,""
"Aotus ericoides","T11",0,""
"Aotus ericoides","T59",0,""
"Aotus ericoides","T1",0,""
"Aotus ericoides","T25",0,""
"Aotus ericoides","T3",0,""
"Aotus ericoides","T30",0,""
"Aotus ericoides","T40",0,""
"Aotus ericoides","T10",0,""
"Aotus ericoides","T17",5,""
"Aotus ericoides","T42",0,""
"Aotus ericoides","T24",0,""
"Aotus ericoides","T38",0,""
"Aotus ericoides","T21",0,""
"Aotus ericoides","T6",0,""
"Aotus ericoides","T48",0,""
"Aotus ericoides","T32",0,""
"Aotus ericoides","T20",0,""
"Aotus ericoides","T43",0,""
"Aotus ericoides","T57",0,""
"Aotus ericoides","T53",0,""
"Aotus ericoides","T28",0,""
"Aotus ericoides","T8",0,""
"Aotus ericoides","T19",0,""
"Aotus ericoides","T13",0,""
"Aotus ericoides","T50",0,""
"Aotus ericoides","T18",0,""
"Aotus ericoides","T14",0,""
"Aotus ericoides","T23",0,""
"Aotus ericoides","T33",0,""
"Aotus ericoides","T12",0,""
"Austrostipa pubescens","T26",0,""
"Austrostipa pubescens","T44",0,""
"Austrostipa pubescens","T41",0,""
"Austrostipa pubescens","T35",0,""
"Austrostipa pubescens","T45",0,""
"Austrostipa pubescens","T15",0,""
"Austrostipa pubescens","T24",0,""
"Austrostipa pubescens","T40",0,""
"Austrostipa pubescens","T60",0,""
"Austrostipa pubescens","T29",0,""
"Austrostipa pubescens","T14",19,""
"Austrostipa pubescens","T53",0,""
"Austrostipa pubescens","T2",0,""
"Austrostipa pubescens","T20",0,""
"Austrostipa pubescens","T5",0,""
"Austrostipa pubescens","T25",0,""
"Austrostipa pubescens","T11",0,""
"Austrostipa pubescens","T10",0,""
"Austrostipa pubescens","T22",0,""
"Austrostipa pubescens","T36",0,""
"Austrostipa pubescens","T32",0,""
"Austrostipa pubescens","T12",0,""
"Austrostipa pubescens","T31",0,""
"Austrostipa pubescens","T21",0,""
"Austrostipa pubescens","T42",0,""
"Austrostipa pubescens","T59",0,""
"Austrostipa pubescens","T16",0,""
"Austrostipa pubescens","T43",0,""
"Austrostipa pubescens","T47",0,""
"Austrostipa pubescens","T37",0,""
"Austrostipa pubescens","T28",0,""
"Austrostipa pubescens","T49",0,""
"Austrostipa pubescens","T39",0,""
"Austrostipa pubescens","T34",0,""
"Austrostipa pubescens","T19",0,""
"Austrostipa pubescens","T4",0,""
"Austrostipa pubescens","T9",0,""
"Austrostipa pubescens","T6",0,""
"Austrostipa pubescens","T48",0,""
"Austrostipa pubescens","T50",0,""
"Austrostipa pubescens","T1",0,""
"Austrostipa pubescens","T13",0,""
"Austrostipa pubescens","T3",0,""
"Austrostipa pubescens","T30",0,""
"Austrostipa pubescens","T8",0,""
"Austrostipa pubescens","T7",0,""
"Austrostipa pubescens","T46",0,""
"Austrostipa pubescens","T17",0,""
"Austrostipa pubescens","T18",0,""
"Austrostipa pubescens","T27",0,""
"Austrostipa pubescens","T38",0,""
"Austrostipa pubescens","T57",0,""
"Austrostipa pubescens","T23",0,""
"Austrostipa pubescens","T33",0,""
"Baeckea imbricata","T36",0,""
"Baeckea imbricata","T9",21,""
"Baeckea imbricata","T29",29,""
"Baeckea imbricata","T53",0,""
"Baeckea imbricata","T40",0,""
"Baeckea imbricata","T45",0,""
"Baeckea imbricata","T34",6,""
"Baeckea imbricata","T16",0,""
"Baeckea imbricata","T26",0,""
"Baeckea imbricata","T31",3,""
"Baeckea imbricata","T21",0,""
"Baeckea imbricata","T42",0,""
"Baeckea imbricata","T50",1,""
"Baeckea imbricata","T35",0,""
"Baeckea imbricata","T20",22,""
"Baeckea imbricata","T37",0,""
"Baeckea imbricata","T30",0,""
"Baeckea imbricata","T28",0,""
"Baeckea imbricata","T60",0,""
"Baeckea imbricata","T46",0,""
"Baeckea imbricata","T19",2,""
"Baeckea imbricata","T24",0,""
"Baeckea imbricata","T44",11,""
"Baeckea imbricata","T27",2,""
"Baeckea imbricata","T41",29,""
"Baeckea imbricata","T6",4,""
"Baeckea imbricata","T1",0,""
"Baeckea imbricata","T38",3,""
"Baeckea imbricata","T5",0,""
"Baeckea imbricata","T57",2,""
"Baeckea imbricata","T23",0,""
"Baeckea imbricata","T10",0,""
"Baeckea imbricata","T15",0,""
"Baeckea imbricata","T17",14,""
"Baeckea imbricata","T12",0,""
"Baeckea imbricata","T2",0,""
"Baeckea imbricata","T4",6,""
"Baeckea imbricata","T14",0,""
"Baeckea imbricata","T48",5,""
"Baeckea imbricata","T11",0,""
"Baeckea imbricata","T59",26,""
"Baeckea imbricata","T43",0,""
"Baeckea imbricata","T25",4,""
"Baeckea imbricata","T3",5,""
"Baeckea imbricata","T32",2,""
"Baeckea imbricata","T22",0,""
"Baeckea imbricata","T39",0,""
"Baeckea imbricata","T47",0,""
"Baeckea imbricata","T33",27,""
"Baeckea imbricata","T8",0,""
"Baeckea imbricata","T18",0,""
"Baeckea imbricata","T7",29,""
"Baeckea imbricata","T13",0,""
"Baeckea imbricata","T49",0,""
"Baeckea linifolia","T44",0,""
"Baeckea linifolia","T46",13,""
"Baeckea linifolia","T36",18,""
"Baeckea linifolia","T16",0,""
"Baeckea linifolia","T31",0,""
"Baeckea linifolia","T29",0,""
"Baeckea linifolia","T25",0,""
"Baeckea linifolia","T34",19,""
"Baeckea linifolia","T26",0,""
"Baeckea linifolia","T4",0,""
"Baeckea linifolia","T39",0,""
"Baeckea linifolia","T14",0,""
"Baeckea linifolia","T11",0,""
"Baeckea linifolia","T1",3,""
"Baeckea linifolia","T9",0,""
"Baeckea linifolia","T47",0,""
"Baeckea linifolia","T3",0,""
"Baeckea linifolia","T30",0,""
"Baeckea linifolia","T15",15,""
"Baeckea linifolia","T22",0,""
"Baeckea linifolia","T17",0,""
"Baeckea linifolia","T53",0,""
"Baeckea linifolia","T2",0,""
"Baeckea linifolia","T27",0,""
"Baeckea linifolia","T21",0,""
"Baeckea linifolia","T41",0,""
"Baeckea linifolia","T50",0,""
"Baeckea linifolia","T35",2,""
"Baeckea linifolia","T45",30,""
"Baeckea linifolia","T5",0,""
"Baeckea linifolia","T37",0,""
"Baeckea linifolia","T40",0,""
"Baeckea linifolia","T60",0,""
"Baeckea linifolia","T7",0,""
"Baeckea linifolia","T42",3,""
"Baeckea linifolia","T24",0,""
"Baeckea linifolia","T18",0,""
"Baeckea linifolia","T20",0,""
"Baeckea linifolia","T43",0,""
"Baeckea linifolia","T59",0,""
"Baeckea linifolia","T28",0,""
"Baeckea linifolia","T10",6,""
"Baeckea linifolia","T49",18,""
"Baeckea linifolia","T23",25,""
"Baeckea linifolia","T12",1,""
"Baeckea linifolia","T48",0,""
"Baeckea linifolia","T38",0,""
"Baeckea linifolia","T19",0,""
"Baeckea linifolia","T6",0,""
"Baeckea linifolia","T57",0,""
"Baeckea linifolia","T32",6,""
"Baeckea linifolia","T33",0,""
"Baeckea linifolia","T13",5,""
"Baeckea linifolia","T8",0,""
"Baloskion fastigiata","T29",30,""
"Baloskion fastigiata","T14",0,""
"Baloskion fastigiata","T26",0,""
"Baloskion fastigiata","T24",0,""
"Baloskion fastigiata","T44",0,""
"Baloskion fastigiata","T9",0,""
"Baloskion fastigiata","T22",0,""
"Baloskion fastigiata","T36",0,""
"Baloskion fastigiata","T53",30,""
"Baloskion fastigiata","T45",0,""
"Baloskion fastigiata","T31",0,""
"Baloskion fastigiata","T41",27,""
"Baloskion fastigiata","T11",0,""
"Baloskion fastigiata","T15",0,""
"Baloskion fastigiata","T1",0,""
"Baloskion fastigiata","T5",0,""
"Baloskion fastigiata","T25",0,""
"Baloskion fastigiata","T2",0,""
"Baloskion fastigiata","T60",0,""
"Baloskion fastigiata","T49",0,""
"Baloskion fastigiata","T46",0,""
"Baloskion fastigiata","T42",0,""
"Baloskion fastigiata","T12",0,""
"Baloskion fastigiata","T27",0,""
"Baloskion fastigiata","T43",0,""
"Baloskion fastigiata","T6",0,""
"Baloskion fastigiata","T16",0,""
"Baloskion fastigiata","T50",0,""
"Baloskion fastigiata","T32",0,""
"Baloskion fastigiata","T3",0,""
"Baloskion fastigiata","T40",0,""
"Baloskion fastigiata","T10",0,""
"Baloskion fastigiata","T4",0,""
"Baloskion fastigiata","T39",0,""
"Baloskion fastigiata","T34",0,""
"Baloskion fastigiata","T19",0,""
"Baloskion fastigiata","T59",0,""
"Baloskion fastigiata","T35",0,""
"Baloskion fastigiata","T21",0,""
"Baloskion fastigiata","T48",30,""
"Baloskion fastigiata","T30",2,""
"Baloskion fastigiata","T28",0,""
"Baloskion fastigiata","T13",0,""
"Baloskion fastigiata","T47",0,""
"Baloskion fastigiata","T38",0,""
"Baloskion fastigiata","T33",0,""
"Baloskion fastigiata","T7",0,""
"Baloskion fastigiata","T17",0,""
"Baloskion fastigiata","T37",0,""
"Baloskion fastigiata","T18",12,""
"Baloskion fastigiata","T20",0,""
"Baloskion fastigiata","T57",0,""
"Baloskion fastigiata","T8",0,""
"Baloskion fastigiata","T23",0,""
"Baloskion gracile","T9",18,""
"Baloskion gracile","T36",0,""
"Baloskion gracile","T44",11,""
"Baloskion gracile","T41",0,""
"Baloskion gracile","T53",1,""
"Baloskion gracile","T29",0,""
"Baloskion gracile","T45",0,""
"Baloskion gracile","T34",0,""
"Baloskion gracile","T26",0,""
"Baloskion gracile","T2",4,""
"Baloskion gracile","T15",0,""
"Baloskion gracile","T14",2,""
"Baloskion gracile","T42",0,""
"Baloskion gracile","T1",0,""
"Baloskion gracile","T4",0,""
"Baloskion gracile","T43",0,""
"Baloskion gracile","T16",0,""
"Baloskion gracile","T40",0,""
"Baloskion gracile","T10",0,""
"Baloskion gracile","T60",0,""
"Baloskion gracile","T46",0,""
"Baloskion gracile","T19",0,""
"Baloskion gracile","T24",0,""
"Baloskion gracile","T35",0,""
"Baloskion gracile","T21",0,""
"Baloskion gracile","T6",0,""
"Baloskion gracile","T11",0,""
"Baloskion gracile","T28",0,""
"Baloskion gracile","T20",0,""
"Baloskion gracile","T5",0,""
"Baloskion gracile","T30",0,""
"Baloskion gracile","T12",0,""
"Baloskion gracile","T32",1,""
"Baloskion gracile","T22",2,""
"Baloskion gracile","T17",2,""
"Baloskion gracile","T25",0,""
"Baloskion gracile","T48",1,""
"Baloskion gracile","T31",0,""
"Baloskion gracile","T27",0,""
"Baloskion gracile","T39",2,""
"Baloskion gracile","T37",0,""
"Baloskion gracile","T38",0,""
"Baloskion gracile","T13",0,""
"Baloskion gracile","T18",0,""
"Baloskion gracile","T3",0,""
"Baloskion gracile","T8",0,""
"Baloskion gracile","T49",0,""
"Baloskion gracile","T59",0,""
"Baloskion gracile","T7",0,""
"Baloskion gracile","T47",0,""
"Baloskion gracile","T50",6,""
"Baloskion gracile","T23",0,""
"Baloskion gracile","T33",0,""
"Baloskion gracile","T57",0,""
"Banksia ericifolia","T42",5,""
"Banksia ericifolia","T44",12,""
"Banksia ericifolia","T36",17,""
"Banksia ericifolia","T11",13,""
"Banksia ericifolia","T4",0,""
"Banksia ericifolia","T29",22,""
"Banksia ericifolia","T46",7,""
"Banksia ericifolia","T39",12,""
"Banksia ericifolia","T34",17,""
"Banksia ericifolia","T9",20,""
"Banksia ericifolia","T21",4,""
"Banksia ericifolia","T27",27,""
"Banksia ericifolia","T41",30,""
"Banksia ericifolia","T40",1,""
"Banksia ericifolia","T31",26,""
"Banksia ericifolia","T35",0,""
"Banksia ericifolia","T25",2,""
"Banksia ericifolia","T24",3,""
"Banksia ericifolia","T16",0,""
"Banksia ericifolia","T15",0,""
"Banksia ericifolia","T22",7,""
"Banksia ericifolia","T17",0,""
"Banksia ericifolia","T37",15,""
"Banksia ericifolia","T26",1,""
"Banksia ericifolia","T2",27,""
"Banksia ericifolia","T14",15,""
